
Note: No compatibility mode selected!


Circuit: * bias_core ramp-feedthrough control -- postlayout @ sf_27c_2.97v, tramp=4 ms -- generated by run_ramp_feedthrough.py, do not edit

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
vdd                                          0
nib                               -1.25448e-35
ibias                             -1.25448e-35
xdut.ks1                          -1.20461e-65
xdut.ks2                           1.50592e-64
xdut.ks3                          -1.87054e-63
xdut.ks4                           2.32335e-62
xdut.nkg                          -2.88578e-61
xdut.pg                            6.04345e-48
xdut.nbg                            3.4462e-68
xdut.pb                            3.66642e-68
xdut.nkm                           8.31657e-75
xdut.nokl                         -2.81289e-23
xdut.noko                         -1.65758e-23
xdut.nokx                          2.08496e-25
xdut.n1                            2.03351e-44
xdut.n2                            2.03204e-44
bias_ok                           -5.35807e-17
xdut.tok                           3.13124e-23
xdut.nt                           -2.61297e-44
xdut.na                           -1.97567e-49
xdut.nbtop                        -2.42232e-58
vref                               4.46703e-48
xdut.nb                           -2.42232e-58
xdut.ec                           -2.42232e-58
xdut.er                              4.467e-48
xdut.nz                            2.03204e-44
xdut.x47.11                        4.46703e-48
xdut.x47.21                        4.46702e-48
xdut.xr2__1                        4.46702e-48
xdut.xr2__2                        4.46702e-48
xdut.x48.11                        4.46702e-48
xdut.x48.21                        4.46702e-48
xdut.x49.11                        4.46702e-48
xdut.x49.21                        4.46702e-48
xdut.xr2__3                        4.46702e-48
xdut.xr2__4                        4.46702e-48
xdut.x50.11                        4.46702e-48
xdut.x50.21                        4.46702e-48
xdut.x51.11                        4.46702e-48
xdut.x51.21                        4.46702e-48
xdut.xr2__5                        4.46702e-48
xdut.xr2__6                        4.46702e-48
xdut.x52.11                        4.46702e-48
xdut.x52.21                        4.46702e-48
xdut.x53.11                        4.46702e-48
xdut.x53.21                        4.46701e-48
xdut.xr2__7                        4.46701e-48
xdut.xr2__8                        4.46701e-48
xdut.x54.11                        4.46701e-48
xdut.x54.21                        4.46701e-48
xdut.x55.11                        4.46701e-48
xdut.x55.21                        4.46701e-48
xdut.xr2__9                        4.46701e-48
xdut.xr2__10                       4.46701e-48
xdut.x56.11                        4.46701e-48
xdut.x56.21                        4.46701e-48
xdut.x57.11                        4.46701e-48
xdut.x57.21                        4.46701e-48
xdut.xr2__11                       4.46701e-48
xdut.xr2__12                       4.46701e-48
xdut.x58.11                        4.46701e-48
xdut.x58.21                        4.46701e-48
xdut.x59.11                        4.46701e-48
xdut.x59.21                        4.46701e-48
xdut.xr2__13                       4.46701e-48
xdut.xr2__14                         4.467e-48
xdut.x60.11                          4.467e-48
xdut.x60.21                        4.46701e-48
xdut.x61.11                          4.467e-48
xdut.x61.21                          4.467e-48
xdut.xr2__15                         4.467e-48
xdut.x62.11                          4.467e-48
xdut.x62.21                          4.467e-48
xdut.x63.11                        2.03204e-44
xdut.x63.21                        2.03204e-44
xdut.xrz__1                        2.03204e-44
xdut.xrz__2                        2.03204e-44
xdut.x64.11                        2.03204e-44
xdut.x64.21                        2.03204e-44
xdut.x65.11                        2.03204e-44
xdut.x65.21                        2.03204e-44
xdut.xrz__3                        2.03204e-44
xdut.x66.11                        2.03204e-44
xdut.x66.21                        2.03204e-44
xdut.x67.11                       -2.42232e-58
xdut.x67.21                       -2.42232e-58
xdut.xr1__1                       -2.42232e-58
xdut.x68.11                       -2.42232e-58
xdut.x68.21                       -2.42232e-58
xdut.x69.11                       -2.42232e-58
xdut.x69.21                       -2.42232e-58
xdut.xrt__1                       -2.42232e-58
xdut.x70.11                       -2.42232e-58
xdut.x70.21                       -2.42232e-58
xdut.n1__par                       2.03351e-44
xdut.n2__par                       2.03204e-44
xdut.nkm__par                      8.31657e-75
xdut.tok__par                      3.13124e-23
xdut.noko__par                    -1.65758e-23
xdut.nokl__par                    -2.81289e-23
xdut.nokx__par                     2.08496e-25
xdut.ks1__par                     -1.20461e-65
xdut.ks2__par                      1.50592e-64
xdut.ks3__par                     -1.87054e-63
xdut.ks4__par                      2.32335e-62
xdut.nkg__par                     -2.88578e-61
xdut.nb__par                      -2.42232e-58
xdut.ec__par                      -2.42232e-58
xdut.nz__par                       2.03204e-44
xdut.xrz__2__par                   2.03204e-44
xdut.xr2__14__par                    4.467e-48
xdut.xr2__12__par                  4.46701e-48
xdut.pg__par                       6.04345e-48
xdut.xr2__10__par                  4.46701e-48
xdut.xr2__8__par                   4.46701e-48
xdut.xr2__6__par                   4.46702e-48
xdut.xr2__4__par                   4.46702e-48
xdut.xr2__2__par                   4.46702e-48
xdut.na__par                      -1.97567e-49
xdut.er__par                         4.467e-48
xdut.xrt__1__par                  -2.42232e-58
xdut.nbtop__par                   -2.42232e-58
xdut.xr1__1__par                  -2.42232e-58
xdut.xrz__3__par                   2.03204e-44
xdut.xrz__1__par                   2.03204e-44
xdut.xr2__13__par                  4.46701e-48
xdut.xr2__11__par                  4.46701e-48
xdut.xr2__1__par                   4.46702e-48
xdut.xr2__3__par                   4.46702e-48
xdut.xr2__5__par                   4.46702e-48
xdut.xr2__7__par                   4.46701e-48
xdut.xr2__9__par                   4.46701e-48
xdut.xr2__15__par                    4.467e-48
xdut.nbg__par                       3.4462e-68
xdut.pb__par                       3.66642e-68
xdut.nt__par                      -2.61297e-44
xdut.bias_ok__par                 -5.35807e-17
xdut.ibias__par                   -1.25448e-35
xdut.vdd__par                                0
xdut.vref__par                     4.46703e-48
xdut.vss__par                                0
vib#branch                        -1.12883e-48
vsup#branch                       -6.49426e-29

 Reference value :  1.91616e-03
 Reference value :  5.82250e-03
 Reference value :  9.79750e-03
No. of Data Rows : 2471
vref_settle         =  1.19939e+00
vref_up             =  1.20632e+00
vref_dn             =  1.19189e+00
Note: Simulation executed from .control section 

