
Note: Compatibility modes selected: hs a


Circuit: * bias-core-designer-check @ bjt_ff_125c_3.30v -- generated by sim/harness, do not edit

Doing analysis at TEMP = 125.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
vddst                                      3.3
nibst                                 0.657117
ibiasst                               0.657117
xst.ks1                                2.28494
xst.ks2                                1.46733
xst.ks3                               0.828735
xst.ks4                               0.347784
xst.nkg                            0.000361029
xst.pg                                 2.60851
xst.nbg                               0.485658
xst.pb                                 2.60341
xst.nkm                               0.449633
xst.nokl                              0.410198
xst.noko                               1.42433
xst.nokx                            0.00051962
xst.n1                                0.446463
xst.n2                                0.443978
bias_okst                                  3.3
xst.tok                                1.52665
xst.nt                                 1.52462
xst.na                                0.354544
xst.nbtop                             0.358203
vrefst                                   1.189
xst.nb                                0.354548
xst.ec                                0.283049
xst.er                                0.354401
xst.nz                                0.443978
xst.x47.11                               1.189
xst.x47.21                             1.13684
xst.xr2__1                             1.13684
xst.xr2__2                             1.08468
xst.x48.11                             1.08468
xst.x48.21                             1.13684
xst.x49.11                             1.08468
xst.x49.21                             1.03252
xst.xr2__3                             1.03252
xst.xr2__4                            0.980354
xst.x50.11                            0.980356
xst.x50.21                             1.03251
xst.x51.11                            0.980352
xst.x51.21                            0.928193
xst.xr2__5                            0.928191
xst.xr2__6                            0.876028
xst.x52.11                             0.87603
xst.x52.21                            0.928189
xst.x53.11                            0.876027
xst.x53.21                            0.823867
xst.xr2__7                            0.823866
xst.xr2__8                            0.771703
xst.x54.11                            0.771705
xst.x54.21                            0.823864
xst.x55.11                            0.771701
xst.x55.21                            0.719542
xst.xr2__9                             0.71954
xst.xr2__10                           0.667377
xst.x56.11                            0.667379
xst.x56.21                            0.719538
xst.x57.11                            0.667375
xst.x57.21                            0.615216
xst.xr2__11                           0.615215
xst.xr2__12                           0.563052
xst.x58.11                            0.563054
xst.x58.21                            0.615213
xst.x59.11                             0.56305
xst.x59.21                            0.510891
xst.xr2__13                           0.510889
xst.xr2__14                           0.458726
xst.x60.11                            0.458728
xst.x60.21                            0.510887
xst.x61.11                            0.458724
xst.x61.21                            0.406565
xst.xr2__15                           0.406563
xst.x62.11                            0.354403
xst.x62.21                            0.406562
xst.x63.11                            0.443978
xst.x63.21                            0.443978
xst.xrz__1                            0.443978
xst.xrz__2                            0.443978
xst.x64.11                            0.443978
xst.x64.21                            0.443978
xst.x65.11                            0.443978
xst.x65.21                            0.443978
xst.xrz__3                            0.443978
xst.x66.11                            0.443978
xst.x66.21                            0.443978
xst.x67.11                            0.354546
xst.x67.21                              0.3188
xst.xr1__1                            0.318799
xst.x68.11                            0.283051
xst.x68.21                            0.318797
xst.x69.11                            0.358201
xst.x69.21                            0.356377
xst.xrt__1                            0.356375
xst.x70.11                             0.35455
xst.x70.21                            0.356374
xst.n1__par                           0.446463
xst.n2__par                           0.443978
xst.nkm__par                          0.449633
xst.tok__par                           1.52665
xst.noko__par                          1.42433
xst.nokl__par                         0.410198
xst.nokx__par                       0.00051962
xst.ks1__par                           2.28494
xst.ks2__par                           1.46733
xst.ks3__par                          0.828735
xst.ks4__par                          0.347784
xst.nkg__par                       0.000361029
xst.nb__par                           0.354548
xst.ec__par                           0.283049
xst.nz__par                           0.443978
xst.xrz__2__par                       0.443978
xst.xr2__14__par                      0.458726
xst.xr2__12__par                      0.563052
xst.pg__par                            2.60851
xst.xr2__10__par                      0.667377
xst.xr2__8__par                       0.771703
xst.xr2__6__par                       0.876028
xst.xr2__4__par                       0.980354
xst.xr2__2__par                        1.08468
xst.na__par                           0.354544
xst.er__par                           0.354401
xst.xrt__1__par                       0.356375
xst.nbtop__par                        0.358203
xst.xr1__1__par                       0.318799
xst.xrz__3__par                       0.443978
xst.xrz__1__par                       0.443978
xst.xr2__13__par                      0.510889
xst.xr2__11__par                      0.615215
xst.xr2__1__par                        1.13684
xst.xr2__3__par                        1.03252
xst.xr2__5__par                       0.928191
xst.xr2__7__par                       0.823866
xst.xr2__9__par                        0.71954
xst.xr2__15__par                      0.406563
xst.nbg__par                          0.485658
xst.pb__par                            2.60341
xst.nt__par                            1.52462
xst.bias_ok__par                           3.3
xst.ibias__par                        0.657117
xst.vdd__par                               3.3
xst.vref__par                            1.189
xst.vss__par                                 0
vdds                                         0
nibs                              3.87461e-167
ibiass                            3.87461e-167
xs.ks1                           -5.22847e-168
xs.ks2                            6.06461e-167
xs.ks3                           -6.98219e-166
xs.ks4                            8.03814e-165
xs.nkg                           -9.25379e-164
xs.pg                             1.97113e-171
xs.nbg                            3.32236e-206
xs.pb                             3.88396e-203
xs.nkm                           -2.06111e-205
xs.nokl                          -3.81254e-170
xs.noko                          -9.66074e-168
xs.nokx                                      0
xs.n1                             4.51624e-178
xs.n2                              2.9736e-176
bias_oks                         -2.12286e-159
xs.tok                             5.1898e-169
xs.nt                             3.22407e-177
xs.na                             7.03532e-172
xs.nbtop                         -1.19686e-168
vrefs                             1.71889e-266
xs.nb                            -1.19686e-168
xs.ec                            -1.19686e-168
xs.er                             1.71929e-266
xs.nz                             2.97381e-176
xs.x47.11                         1.71889e-266
xs.x47.21                         1.71892e-266
xs.xr2__1                         1.71892e-266
xs.xr2__2                         1.71894e-266
xs.x48.11                         1.71894e-266
xs.x48.21                         1.71892e-266
xs.x49.11                         1.71894e-266
xs.x49.21                         1.71897e-266
xs.xr2__3                         1.71897e-266
