
Note: Compatibility modes selected: hs a


Circuit: * bias-core-designer-check @ res_ff_-40c_3.63v -- generated by sim/harness, do not edit

Doing analysis at TEMP = -40.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
vddst                                     3.63
nibst                                 0.777342
ibiasst                               0.777342
xst.ks1                                2.47575
xst.ks2                                1.54849
xst.ks3                               0.836248
xst.ks4                               0.324212
xst.nkg                            2.98071e-08
xst.pg                                 2.78189
xst.nbg                               0.657657
xst.pb                                  2.7769
xst.nkm                                 0.6367
xst.nokl                               0.61148
xst.noko                               1.67985
xst.nokx                           0.000123861
xst.n1                                0.627178
xst.n2                                0.622456
bias_okst                                 3.63
xst.tok                                2.04571
xst.nt                                 2.04445
xst.na                                0.714708
xst.nbtop                             0.716859
vrefst                                 1.20356
xst.nb                                0.714716
xst.ec                                0.672853
xst.er                                0.714636
xst.nz                                0.622456
xst.x47.11                             1.20356
xst.x47.21                               1.173
xst.xr2__1                               1.173
xst.xr2__2                             1.14244
xst.x48.11                             1.14244
xst.x48.21                               1.173
xst.x49.11                             1.14244
xst.x49.21                             1.11189
xst.xr2__3                             1.11188
xst.xr2__4                             1.08133
xst.x50.11                             1.08133
xst.x50.21                             1.11188
xst.x51.11                             1.08132
xst.x51.21                             1.05077
xst.xr2__5                             1.05077
xst.xr2__6                             1.02021
xst.x52.11                             1.02021
xst.x52.21                             1.05077
xst.x53.11                             1.02021
xst.x53.21                            0.989656
xst.xr2__7                            0.989654
xst.xr2__8                            0.959096
xst.x54.11                            0.959098
xst.x54.21                            0.989652
xst.x55.11                            0.959094
xst.x55.21                            0.928541
xst.xr2__9                            0.928539
xst.xr2__10                           0.897981
xst.x56.11                            0.897983
xst.x56.21                            0.928537
xst.x57.11                            0.897979
xst.x57.21                            0.867426
xst.xr2__11                           0.867424
xst.xr2__12                           0.836866
xst.x58.11                            0.836868
xst.x58.21                            0.867422
xst.x59.11                            0.836864
xst.x59.21                             0.80631
xst.xr2__13                           0.806308
xst.xr2__14                           0.775751
xst.x60.11                            0.775753
xst.x60.21                            0.806306
xst.x61.11                            0.775749
xst.x61.21                            0.745195
xst.xr2__15                           0.745193
xst.x62.11                            0.714638
xst.x62.21                            0.745191
xst.x63.11                            0.622456
xst.x63.21                            0.622456
xst.xrz__1                            0.622456
xst.xrz__2                            0.622456
xst.x64.11                            0.622456
xst.x64.21                            0.622456
xst.x65.11                            0.622456
xst.x65.21                            0.622456
