
Note: Compatibility modes selected: hs a


Circuit: * bias-core-designer-check @ res_ss_125c_3.30v -- generated by sim/harness, do not edit

Doing analysis at TEMP = 125.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
vddst                                      3.3
nibst                                 0.638258
ibiasst                               0.638258
xst.ks1                                2.28497
xst.ks2                                1.46738
xst.ks3                               0.828797
xst.ks4                               0.347856
xst.nkg                             0.00043683
xst.pg                                 2.62451
xst.nbg                               0.472847
xst.pb                                 2.61934
xst.nkm                               0.437648
xst.nokl                              0.398574
xst.noko                               1.41709
xst.nokx                           0.000422547
xst.n1                                0.434326
xst.n2                                0.431752
bias_okst                                  3.3
xst.tok                                1.51853
xst.nt                                 1.51642
xst.na                                0.355434
xst.nbtop                             0.359092
vrefst                                 1.18993
xst.nb                                0.355438
xst.ec                                0.283923
xst.er                                0.355284
xst.nz                                0.431752
xst.x47.11                             1.18993
xst.x47.21                             1.13777
xst.xr2__1                             1.13777
xst.xr2__2                              1.0856
xst.x48.11                              1.0856
xst.x48.21                             1.13776
xst.x49.11                              1.0856
xst.x49.21                             1.03344
xst.xr2__3                             1.03344
xst.xr2__4                             0.98127
xst.x50.11                            0.981271
xst.x50.21                             1.03343
xst.x51.11                            0.981268
xst.x51.21                            0.929106
xst.xr2__5                            0.929104
xst.xr2__6                            0.876939
xst.x52.11                             0.87694
xst.x52.21                            0.929103
xst.x53.11                            0.876937
xst.x53.21                            0.824775
xst.xr2__7                            0.824773
xst.xr2__8                            0.772608
xst.x54.11                            0.772609
xst.x54.21                            0.824772
xst.x55.11                            0.772607
xst.x55.21                            0.720444
xst.xr2__9                            0.720443
xst.xr2__10                           0.668277
xst.x56.11                            0.668279
xst.x56.21                            0.720441
xst.x57.11                            0.668276
xst.x57.21                            0.616113
xst.xr2__11                           0.616112
xst.xr2__12                           0.563946
xst.x58.11                            0.563948
xst.x58.21                             0.61611
xst.x59.11                            0.563945
xst.x59.21                            0.511782
xst.xr2__13                           0.511781
xst.xr2__14                           0.459615
xst.x60.11                            0.459617
xst.x60.21                            0.511779
xst.x61.11                            0.459614
xst.x61.21                            0.407451
xst.xr2__15                            0.40745
xst.x62.11                            0.355286
xst.x62.21                            0.407448
xst.x63.11                            0.431752
xst.x63.21                            0.431752
xst.xrz__1                            0.431752
xst.xrz__2                            0.431752
xst.x64.11                            0.431752
xst.x64.21                            0.431752
xst.x65.11                            0.431752
xst.x65.21                            0.431752
xst.xrz__3                            0.431752
xst.x66.11                            0.431752
xst.x66.21                            0.431752
xst.x67.11                            0.355437
xst.x67.21                            0.319682
xst.xr1__1                             0.31968
xst.x68.11                            0.283924
xst.x68.21                            0.319679
xst.x69.11                            0.359091
xst.x69.21                            0.357267
xst.xrt__1                            0.357265
xst.x70.11                             0.35544
xst.x70.21                            0.357264
xst.n1__par                           0.434326
xst.n2__par                           0.431752
xst.nkm__par                          0.437648
xst.tok__par                           1.51853
xst.noko__par                          1.41709
xst.nokl__par                         0.398574
xst.nokx__par                      0.000422547
xst.ks1__par                           2.28497
xst.ks2__par                           1.46738
xst.ks3__par                          0.828797
xst.ks4__par                          0.347856
xst.nkg__par                        0.00043683
xst.nb__par                           0.355438
xst.ec__par                           0.283923
xst.nz__par                           0.431752
xst.xrz__2__par                       0.431752
xst.xr2__14__par                      0.459615
xst.xr2__12__par                      0.563946
xst.pg__par                            2.62451
xst.xr2__10__par                      0.668277
xst.xr2__8__par                       0.772608
xst.xr2__6__par                       0.876939
xst.xr2__4__par                        0.98127
xst.xr2__2__par                         1.0856
xst.na__par                           0.355434
xst.er__par                           0.355284
xst.xrt__1__par                       0.357265
xst.nbtop__par                        0.359092
xst.xr1__1__par                        0.31968
xst.xrz__3__par                       0.431752
xst.xrz__1__par                       0.431752
xst.xr2__13__par                      0.511781
xst.xr2__11__par                      0.616112
xst.xr2__1__par                        1.13777
xst.xr2__3__par                        1.03344
xst.xr2__5__par                       0.929104
xst.xr2__7__par                       0.824773
xst.xr2__9__par                       0.720443
xst.xr2__15__par                       0.40745
xst.nbg__par                          0.472847
xst.pb__par                            2.61934
xst.nt__par                            1.51642
xst.bias_ok__par                           3.3
xst.ibias__par                        0.638258
xst.vdd__par                               3.3
xst.vref__par                          1.18993
xst.vss__par                                 0
vdds                                         0
nibs                              4.59718e-168
ibiass                            4.59718e-168
xs.ks1                           -8.34253e-169
xs.ks2                            9.67668e-168
xs.ks3                           -1.11408e-166
xs.ks4                            1.28256e-165
xs.nkg                           -1.47653e-164
xs.pg                             2.02939e-172
xs.nbg                            4.95178e-208
xs.pb                             6.62316e-205
xs.nkm                           -3.53668e-207
xs.nokl                          -5.36354e-171
xs.noko                          -1.34608e-168
xs.nokx                                      0
xs.n1                             5.46555e-179
xs.n2                             3.73499e-177
bias_oks                         -3.66653e-160
xs.tok                            7.23073e-170
xs.nt                             4.11897e-178
xs.na                             3.66659e-178
xs.nbtop                         -5.47771e-178
vrefs                            -9.28333e-280
xs.nb                            -5.47771e-178
xs.ec                            -5.47771e-178
xs.er                            -9.28599e-280
xs.nz                             3.73525e-177
xs.x47.11                        -9.28333e-280
xs.x47.21                         -9.2835e-280
xs.xr2__1                         -9.2835e-280
xs.xr2__2                        -9.28367e-280
xs.x48.11                        -9.28367e-280
xs.x48.21                         -9.2835e-280
xs.x49.11                        -9.28367e-280
xs.x49.21                        -9.28383e-280
