
Note: Compatibility modes selected: hs a


Circuit: * bias-core-designer-check @ ss_27c_3.30v -- generated by sim/harness, do not edit

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
vddst                                      3.3
nibst                                 0.812098
ibiasst                               0.812098
xst.ks1                                2.19288
xst.ks2                                1.32917
xst.ks3                               0.690353
xst.ks4                               0.254524
xst.nkg                            4.57072e-08
xst.pg                                 2.41037
xst.nbg                               0.678676
xst.pb                                 2.40641
xst.nkm                               0.651351
xst.nokl                              0.620639
xst.noko                               1.76222
xst.nokx                           0.000161243
xst.n1                                0.644297
xst.n2                                0.641158
bias_okst                                  3.3
xst.tok                                1.89829
xst.nt                                  1.8968
xst.na                                0.573105
xst.nbtop                             0.575866
vrefst                                 1.20266
xst.nb                                 0.57311
xst.ec                                0.519185
xst.er                                0.573005
xst.nz                                0.641158
xst.x47.11                             1.20265
xst.x47.21                              1.1633
xst.xr2__1                              1.1633
xst.xr2__2                             1.12395
xst.x48.11                             1.12395
xst.x48.21                              1.1633
xst.x49.11                             1.12395
xst.x49.21                              1.0846
xst.xr2__3                              1.0846
xst.xr2__4                             1.04524
xst.x50.11                             1.04524
xst.x50.21                             1.08459
xst.x51.11                             1.04524
xst.x51.21                             1.00589
xst.xr2__5                             1.00589
xst.xr2__6                            0.966536
xst.x52.11                            0.966538
xst.x52.21                             1.00589
xst.x53.11                            0.966535
xst.x53.21                            0.927185
xst.xr2__7                            0.927183
xst.xr2__8                             0.88783
xst.x54.11                            0.887831
xst.x54.21                            0.927182
xst.x55.11                            0.887829
xst.x55.21                            0.848478
xst.xr2__9                            0.848477
xst.xr2__10                           0.809124
xst.x56.11                            0.809125
xst.x56.21                            0.848476
xst.x57.11                            0.809122
xst.x57.21                            0.769772
xst.xr2__11                           0.769771
xst.xr2__12                           0.730417
xst.x58.11                            0.730419
xst.x58.21                            0.769769
xst.x59.11                            0.730416
xst.x59.21                            0.691066
xst.xr2__13                           0.691064
xst.xr2__14                           0.651711
xst.x60.11                            0.651712
xst.x60.21                            0.691063
xst.x61.11                             0.65171
xst.x61.21                            0.612359
xst.xr2__15                           0.612358
xst.x62.11                            0.573006
xst.x62.21                            0.612357
xst.x63.11                            0.641158
xst.x63.21                            0.641158
xst.xrz__1                            0.641158
xst.xrz__2                            0.641158
xst.x64.11                            0.641158
xst.x64.21                            0.641158
xst.x65.11                            0.641158
xst.x65.21                            0.641158
xst.xrz__3                            0.641158
xst.x66.11                            0.641158
xst.x66.21                            0.641158
xst.x67.11                            0.573109
xst.x67.21                            0.546149
xst.xr1__1                            0.546148
xst.x68.11                            0.519186
xst.x68.21                            0.546146
xst.x69.11                            0.575865
xst.x69.21                             0.57449
xst.xrt__1                            0.574488
xst.x70.11                            0.573112
xst.x70.21                            0.574487
xst.n1__par                           0.644297
xst.n2__par                           0.641158
xst.nkm__par                          0.651351
xst.tok__par                           1.89829
xst.noko__par                          1.76222
xst.nokl__par                         0.620639
xst.nokx__par                      0.000161243
xst.ks1__par                           2.19288
xst.ks2__par                           1.32917
xst.ks3__par                          0.690353
xst.ks4__par                          0.254524
xst.nkg__par                       4.57072e-08
xst.nb__par                            0.57311
xst.ec__par                           0.519185
xst.nz__par                           0.641158
xst.xrz__2__par                       0.641158
xst.xr2__14__par                      0.651711
xst.xr2__12__par                      0.730417
xst.pg__par                            2.41037
xst.xr2__10__par                      0.809124
xst.xr2__8__par                        0.88783
xst.xr2__6__par                       0.966536
xst.xr2__4__par                        1.04524
xst.xr2__2__par                        1.12395
xst.na__par                           0.573105
xst.er__par                           0.573005
xst.xrt__1__par                       0.574488
xst.nbtop__par                        0.575866
xst.xr1__1__par                       0.546148
xst.xrz__3__par                       0.641158
xst.xrz__1__par                       0.641158
xst.xr2__13__par                      0.691064
xst.xr2__11__par                      0.769771
xst.xr2__1__par                         1.1633
xst.xr2__3__par                         1.0846
xst.xr2__5__par                        1.00589
xst.xr2__7__par                       0.927183
xst.xr2__9__par                       0.848477
xst.xr2__15__par                      0.612358
xst.nbg__par                          0.678676
xst.pb__par                            2.40641
xst.nt__par                             1.8968
xst.bias_ok__par                           3.3
xst.ibias__par                        0.812098
xst.vdd__par                               3.3
xst.vref__par                          1.20266
xst.vss__par                                 0
vdds                                         0
nibs                                         0
ibiass                                       0
xs.ks1                                       0
xs.ks2                                       0
xs.ks3                                       0
xs.ks4                                       0
xs.nkg                                       0
xs.pg                                        0
xs.nbg                                       0
xs.pb                                        0
xs.nkm                                       0
xs.nokl                                      0
xs.noko                                      0
xs.nokx                                      0
xs.n1                                        0
xs.n2                                        0
bias_oks                                     0
xs.tok                                       0
xs.nt                                        0
xs.na                                        0
xs.nbtop                                     0
vrefs                                        0
xs.nb                                        0
xs.ec                                        0
xs.er                                        0
xs.nz                                        0
xs.x47.11                                    0
xs.x47.21                                    0
xs.xr2__1                                    0
xs.xr2__2                                    0
xs.x48.11                                    0
xs.x48.21                                    0
xs.x49.11                                    0
xs.x49.21                                    0
xs.xr2__3                                    0
xs.xr2__4                                    0
xs.x50.11                                    0
xs.x50.21                                    0
xs.x51.11                                    0
xs.x51.21                                    0
xs.xr2__5                                    0
xs.xr2__6                                    0
xs.x52.11                                    0
xs.x52.21                                    0
xs.x53.11                                    0
xs.x53.21                                    0
xs.xr2__7                                    0
xs.xr2__8                                    0
xs.x54.11                                    0
xs.x54.21                                    0
