
Note: Compatibility modes selected: hs a


Circuit: * bias-core-startup @ sf_125c_3.63v -- generated by sim/harness, do not edit

Doing analysis at TEMP = 125.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
vddq                                         0
nibq                              -4.53344e-19
ibiasq                            -4.53344e-19
xqs.ks1                            2.19547e-19
xqs.ks2                            2.98624e-19
xqs.ks3                             -1.122e-18
xqs.ks4                           -3.09604e-19
xqs.nkg                           -1.34775e-18
xqs.pg                             1.04067e-18
xqs.nbg                           -7.80101e-19
xqs.pb                             3.16471e-19
xqs.nkm                            6.24365e-19
xqs.nokl                           -1.4148e-18
xqs.noko                          -6.03898e-19
xqs.nokx                           7.83298e-19
xqs.n1                             7.13622e-19
xqs.n2                             4.94662e-19
bias_okq                           -1.7815e-17
xqs.tok                            3.51594e-19
xqs.nt                             9.81725e-19
xqs.na                            -1.56579e-18
xqs.nbtop                          1.46075e-18
vrefq                             -3.92049e-20
xqs.nb                             1.46075e-18
xqs.ec                             1.46075e-18
xqs.er                            -3.84321e-20
xqs.nz                             4.94662e-19
xqs.x47.11                        -3.92049e-20
xqs.x47.21                        -3.91566e-20
xqs.xr2__1                        -3.91566e-20
xqs.xr2__2                        -3.91083e-20
xqs.x48.11                        -3.91083e-20
xqs.x48.21                        -3.91566e-20
xqs.x49.11                        -3.91083e-20
xqs.x49.21                          -3.906e-20
xqs.xr2__3                          -3.906e-20
xqs.xr2__4                        -3.90117e-20
xqs.x50.11                        -3.90117e-20
xqs.x50.21                          -3.906e-20
xqs.x51.11                        -3.90117e-20
xqs.x51.21                        -3.89634e-20
xqs.xr2__5                        -3.89634e-20
xqs.xr2__6                        -3.89151e-20
xqs.x52.11                        -3.89151e-20
xqs.x52.21                        -3.89634e-20
xqs.x53.11                        -3.89151e-20
xqs.x53.21                        -3.88668e-20
xqs.xr2__7                        -3.88668e-20
xqs.xr2__8                        -3.88185e-20
xqs.x54.11                        -3.88185e-20
xqs.x54.21                        -3.88668e-20
xqs.x55.11                        -3.88185e-20
xqs.x55.21                        -3.87702e-20
xqs.xr2__9                        -3.87702e-20
xqs.xr2__10                       -3.87219e-20
xqs.x56.11                        -3.87219e-20
xqs.x56.21                        -3.87702e-20
xqs.x57.11                        -3.87219e-20
xqs.x57.21                        -3.86736e-20
xqs.xr2__11                       -3.86736e-20
xqs.xr2__12                       -3.86253e-20
xqs.x58.11                        -3.86253e-20
xqs.x58.21                        -3.86736e-20
xqs.x59.11                        -3.86253e-20
xqs.x59.21                         -3.8577e-20
xqs.xr2__13                        -3.8577e-20
xqs.xr2__14                       -3.85287e-20
xqs.x60.11                        -3.85287e-20
xqs.x60.21                         -3.8577e-20
xqs.x61.11                        -3.85287e-20
xqs.x61.21                        -3.84804e-20
xqs.xr2__15                       -3.84804e-20
xqs.x62.11                        -3.84321e-20
xqs.x62.21                        -3.84804e-20
xqs.x63.11                         4.94662e-19
xqs.x63.21                         4.94662e-19
xqs.xrz__1                         4.94662e-19
xqs.xrz__2                         4.94662e-19
xqs.x64.11                         4.94662e-19
xqs.x64.21                         4.94662e-19
xqs.x65.11                         4.94662e-19
xqs.x65.21                         4.94662e-19
xqs.xrz__3                         4.94662e-19
xqs.x66.11                         4.94662e-19
xqs.x66.21                         4.94662e-19
xqs.x67.11                         1.46075e-18
xqs.x67.21                         1.46075e-18
xqs.xr1__1                         1.46075e-18
xqs.x68.11                         1.46075e-18
xqs.x68.21                         1.46075e-18
xqs.x69.11                         1.46075e-18
xqs.x69.21                         1.46075e-18
xqs.xrt__1                         1.46075e-18
xqs.x70.11                         1.46075e-18
xqs.x70.21                         1.46075e-18
xqs.n1__par                        7.13622e-19
xqs.n2__par                        4.94662e-19
xqs.nkm__par                       6.24365e-19
xqs.tok__par                       3.51594e-19
xqs.noko__par                     -6.03898e-19
xqs.nokl__par                      -1.4148e-18
xqs.nokx__par                      7.83298e-19
xqs.ks1__par                       2.19547e-19
xqs.ks2__par                       2.98624e-19
xqs.ks3__par                        -1.122e-18
xqs.ks4__par                      -3.09604e-19
xqs.nkg__par                      -1.34775e-18
xqs.nb__par                        1.46075e-18
xqs.ec__par                        1.46075e-18
xqs.nz__par                        4.94662e-19
xqs.xrz__2__par                    4.94662e-19
xqs.xr2__14__par                  -3.85287e-20
xqs.xr2__12__par                  -3.86253e-20
xqs.pg__par                        1.04067e-18
xqs.xr2__10__par                  -3.87219e-20
xqs.xr2__8__par                   -3.88185e-20
xqs.xr2__6__par                   -3.89151e-20
xqs.xr2__4__par                   -3.90117e-20
xqs.xr2__2__par                   -3.91083e-20
xqs.na__par                       -1.56579e-18
xqs.er__par                       -3.84321e-20
xqs.xrt__1__par                    1.46075e-18
xqs.nbtop__par                     1.46075e-18
xqs.xr1__1__par                    1.46075e-18
xqs.xrz__3__par                    4.94662e-19
xqs.xrz__1__par                    4.94662e-19
xqs.xr2__13__par                   -3.8577e-20
xqs.xr2__11__par                  -3.86736e-20
xqs.xr2__1__par                   -3.91566e-20
xqs.xr2__3__par                     -3.906e-20
xqs.xr2__5__par                   -3.89634e-20
xqs.xr2__7__par                   -3.88668e-20
xqs.xr2__9__par                   -3.87702e-20
xqs.xr2__15__par                  -3.84804e-20
xqs.nbg__par                      -7.80101e-19
xqs.pb__par                        3.16471e-19
xqs.nt__par                        9.81725e-19
xqs.bias_ok__par                   -1.7815e-17
xqs.ibias__par                    -4.53344e-19
xqs.vdd__par                                 0
xqs.vref__par                     -3.92049e-20
xqs.vss__par                                 0
relq                                        -1
vddf                                         0
nibf                               5.71333e-19
ibiasf                             5.71333e-19
xqf.ks1                           -2.55211e-19
xqf.ks2                            4.02299e-19
xqf.ks3                           -1.06046e-18
xqf.ks4                            2.96292e-19
xqf.nkg                            1.28827e-18
xqf.pg                            -2.71981e-19
xqf.nbg                            -1.0556e-18
xqf.pb                            -6.81423e-19
xqf.nkm                            6.69917e-19
xqf.nokl                          -1.15473e-18
xqf.noko                          -1.42258e-18
xqf.nokx                           5.86742e-19
xqf.n1                             6.69898e-19
xqf.n2                             6.60311e-19
bias_okf                          -1.10417e-17
xqf.tok                            6.86307e-19
xqf.nt                             1.11425e-18
xqf.na                              1.2271e-18
xqf.nbtop                          1.04454e-18
vreff                             -3.22594e-19
xqf.nb                             1.04454e-18
xqf.ec                             1.04454e-18
xqf.er                            -3.21821e-19
xqf.nz                             6.60311e-19
xqf.x47.11                        -3.22594e-19
xqf.x47.21                        -3.22545e-19
xqf.xr2__1                        -3.22545e-19
xqf.xr2__2                        -3.22497e-19
xqf.x48.11                        -3.22497e-19
xqf.x48.21                        -3.22545e-19
xqf.x49.11                        -3.22497e-19
xqf.x49.21                        -3.22449e-19
xqf.xr2__3                        -3.22449e-19
xqf.xr2__4                          -3.224e-19
xqf.x50.11                          -3.224e-19
xqf.x50.21                        -3.22449e-19
xqf.x51.11                          -3.224e-19
xqf.x51.21                        -3.22352e-19
xqf.xr2__5                        -3.22352e-19
xqf.xr2__6                        -3.22304e-19
xqf.x52.11                        -3.22304e-19
xqf.x52.21                        -3.22352e-19
xqf.x53.11                        -3.22304e-19
xqf.x53.21                        -3.22256e-19
xqf.xr2__7                        -3.22256e-19
xqf.xr2__8                        -3.22207e-19
xqf.x54.11                        -3.22207e-19
xqf.x54.21                        -3.22256e-19
xqf.x55.11                        -3.22207e-19
xqf.x55.21                        -3.22159e-19
xqf.xr2__9                        -3.22159e-19
xqf.xr2__10                       -3.22111e-19
xqf.x56.11                        -3.22111e-19
xqf.x56.21                        -3.22159e-19
xqf.x57.11                        -3.22111e-19
xqf.x57.21                        -3.22062e-19
xqf.xr2__11                       -3.22062e-19
xqf.xr2__12                       -3.22014e-19
xqf.x58.11                        -3.22014e-19
xqf.x58.21                        -3.22062e-19
xqf.x59.11                        -3.22014e-19
xqf.x59.21                        -3.21966e-19
xqf.xr2__13                       -3.21966e-19
xqf.xr2__14                       -3.21918e-19
xqf.x60.11                        -3.21918e-19
xqf.x60.21                        -3.21966e-19
xqf.x61.11                        -3.21918e-19
xqf.x61.21                        -3.21869e-19
xqf.xr2__15                       -3.21869e-19
xqf.x62.11                        -3.21821e-19
xqf.x62.21                        -3.21869e-19
xqf.x63.11                         6.60311e-19
xqf.x63.21                         6.60311e-19
xqf.xrz__1                         6.60311e-19
