
Note: Compatibility modes selected: hs a


Circuit: * por-brownout-slew @ tt_-40c_3.30v -- generated by sim/harness, do not edit

Doing analysis at TEMP = -40.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
vdd                                          0
ptat                               1.39283e-88
ctat                              -4.12438e-21
resetn                            -2.26872e-46
xdut.xbias.na                    -6.89754e-104
xdut.xbias.pg                      -7.8831e-22
xdut.xbias.nbtop                   -3.7861e-97
xdut.vref                         -4.69754e-98
xdut.xbias.nbg                     3.40905e-22
xdut.xbias.xrt.11                  -3.7861e-97
xdut.xbias.xrt.21                  -3.7861e-97
xdut.xbias.nb                      -3.7861e-97
xdut.xbias.xr1.11                  -3.7861e-97
xdut.xbias.xr1.21                  -3.7861e-97
xdut.xbias.ec                      -3.7861e-97
xdut.xbias.xr2.11                 -4.69754e-98
xdut.xbias.xr2.21                 -4.69758e-98
xdut.xbias.er                     -4.69758e-98
xdut.xbias.pb                     -3.40905e-22
xdut.ibias                         2.23655e-22
xdut.xbias.nt                     -4.69382e-47
xdut.xbias.n1                      2.05715e-68
xdut.xbias.n2                     -3.00197e-25
xdut.xbias.nz                     -3.00198e-25
xdut.xbias.xrz.11                 -3.00198e-25
xdut.xbias.xrz.21                 -3.00197e-25
xdut.xbias.ks1                    -7.63434e-88
xdut.xbias.ks2                    -2.16582e-67
xdut.xbias.ks3                     2.37906e-62
xdut.xbias.ks4                     6.63101e-42
xdut.xbias.nkg                     1.58249e-21
xdut.xbias.nkm                     3.40914e-22
xdut.xbias.tok                     6.14829e-28
xdut.xbias.noko                    2.27294e-22
xdut.xbias.nokl                    3.40936e-22
xdut.xbias.nokx                              0
xdut.bias_ok                     -5.79919e-105
xdut.xtemp.nbg                     2.27761e-26
xdut.xtemp.enb                    -3.5241e-200
xdut.xtemp.pb                     -1.60083e-39
xdut.xtemp.pcas                   -1.87949e-50
xdut.xtemp.nt                      9.99131e-21
xdut.xtemp.n1                     -5.78855e-21
xdut.xtemp.na                     -4.12442e-21
xdut.xtemp.n2                     -1.62625e-20
xdut.xtemp.nb                    -1.68721e-108
xdut.xtemp.pg                      2.99522e-21
xdut.xtemp.nz                     -1.62625e-20
xdut.xtemp.xrz.11                 -1.62625e-20
xdut.xtemp.xrz.21                 -1.62625e-20
xdut.xtemp.m1d                    -2.72415e-21
xdut.xtemp.m2d                    -7.4696e-108
xdut.xtemp.m3d                     1.23741e-82
xdut.xtemp.nd                      5.46208e-43
xdut.xtemp.nr                     6.09255e-122
xdut.xtemp.nc                    -1.68721e-108
xdut.xtemp.xr1.11                -1.68721e-108
xdut.xtemp.xr1.21                -1.68721e-108
xdut.xtemp.xr2f.11                 1.39274e-88
xdut.xtemp.xr2f.21                 2.03271e-89
xdut.xtemp.t5                      2.03188e-89
xdut.xtemp.xr2t5.11                2.03104e-89
xdut.xtemp.xr2t5.21                1.00098e-89
xdut.xtemp.t4                      1.00014e-89
xdut.xtemp.xr2t4.11                9.99302e-90
xdut.xtemp.xr2t4.21                4.85012e-90
xdut.xtemp.t3                      4.84174e-90
xdut.xtemp.xr2t3.11                4.83337e-90
xdut.xtemp.xr2t3.21                2.26932e-90
xdut.xtemp.t2                      2.26094e-90
xdut.xtemp.xr2t2.11                2.25257e-90
xdut.xtemp.xr2t2.21                9.78166e-91
xdut.xtemp.t1                      9.69791e-91
xdut.xtemp.xr2t1.11                9.61417e-91
xdut.xtemp.xr2t1.21                3.32288e-91
xdut.xtemp.t0                      3.23914e-91
xdut.xtemp.xr2t0.11                3.15539e-91
xdut.xtemp.xr2t0.21                8.37455e-93
xdut.xtemp.xriso.11               -4.12442e-21
xdut.xtemp.xriso.21               -4.12438e-21
xdut.xcmp.bias_okb               -5.68684e-106
xdut.xcmp.nbg                     -1.74897e-26
xdut.xcmp.sns                                0
xdut.xcmp.xrtop.11                           0
xdut.xcmp.xrtop.21                           0
xdut.xcmp.snsb                               0
xdut.xcmp.xrbot.11                           0
xdut.xcmp.xrbot.21                           0
xdut.xcmp.xrhys.11                           0
xdut.xcmp.xrhys.21                           0
xdut.xcmp.n1                      -5.32331e-31
xdut.xcmp.tn                      -5.53294e-22
xdut.xcmp.na                       2.50946e-21
xdut.xcmp.cmpo                     1.08611e-21
xdut.xcmp.vdda                    -1.30538e-21
xdut.por_raw                      -4.25759e-45
xdut.xpor.pdn                     -4.87086e-57
xdut.xpor.ndl                     -1.90359e-22
xdut.xpor.ndgp                     1.20828e-88
xdut.xpor.ndg                      1.20834e-88
xdut.xpor.ndgn                     4.86073e-93
xdut.xpor.pgdg                     1.16022e-82
xdut.xpor.pgdgb                   -2.29537e-89
xdut.xpor.nts                     -4.35389e-65
xdut.xpor.tim                     -2.07285e-66
xdut.xpor.nd1                     -4.54366e-52
xdut.xpor.trip                    -3.12715e-44
xdut.xpor.rstb                    -9.06103e-42
xdut.xpor.nnand                    2.49357e-41
vsup#branch                        1.10988e-32

 Reference value :  0.00000e+00
 Reference value :  2.07546e-04
 Reference value :  4.44194e-04
 Reference value :  4.78902e-04
 Reference value :  5.28111e-04
 Reference value :  8.01931e-04
 Reference value :  8.59376e-04
 Reference value :  8.74880e-04
 Reference value :  2.48920e-03
 Reference value :  6.24920e-03
 Reference value :  1.00092e-02
 Reference value :  1.17759e-02
 Reference value :  1.17782e-02
 Reference value :  1.17801e-02
 Reference value :  1.17831e-02
 Reference value :  1.18596e-02
 Reference value :  1.55594e-02
 Reference value :  1.91794e-02
 Reference value :  2.00505e-02
 Reference value :  2.00505e-02
 Reference value :  2.02887e-02
 Reference value :  2.02920e-02
 Reference value :  2.02920e-02
 Reference value :  2.09519e-02
 Reference value :  2.10127e-02
 Reference value :  2.10130e-02
 Reference value :  2.10236e-02
 Reference value :  2.10481e-02
 Reference value :  2.10635e-02
No. of Data Rows : 2767
vrst_pre            =  3.30000e+00
rst_r_min_overall   =  -6.99357e-07 at=  2.02920e-02
vdd_settled         =  3.30000e+00
bok_r_min           =  -1.08962e-06 at=  2.02920e-02
rst_r_min           =  -6.99357e-07 at=  2.02920e-02
praw_r_min          =  -3.68023e-03 at=  2.00505e-02
vrst_floor          =  1.01972e-09
vdd_dip             =  1.00000e+00
m_resetn_pre_dip_v = 3.3000000000e+00
m_vdd_dip_v = 1.0000000000e+00
m_bias_ok_ratio_min_in_dip = -1.089625000e-06
m_resetn_ratio_min_in_dip = -6.993565000e-07
m_por_raw_ratio_min_in_dip = -3.680228000e-03
m_resetn_ratio_min_overall = -6.993565000e-07
m_resetn_floor_in_dip_mv = 1.0197180000e-06
Note: Simulation executed from .control section 

Warning: m=xx on .subckt line will override multiplier m hierarchy!

