
Note: Compatibility modes selected: hs a


Circuit: * por-brownout-spurious @ bjt_ff_27c_3.63v -- generated by sim/harness, do not edit

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
vddb1                                        0
ptatb1                             -2.1505e-53
ctatb1                              9.2039e-39
resetnb1                           3.23316e-19
xb1.xbias.na                     -3.51478e-114
xb1.xbias.pg                       1.34525e-53
xb1.xbias.nbtop                  -8.21183e-106
xb1.vref                          4.61754e-112
xb1.xbias.nbg                      3.36992e-68
xb1.xbias.xrt.11                 -8.21183e-106
xb1.xbias.xrt.21                 -8.21183e-106
xb1.xbias.nb                     -8.21183e-106
xb1.xbias.xr1.11                 -8.21183e-106
xb1.xbias.xr1.21                 -8.21184e-106
xb1.xbias.ec                     -8.21184e-106
xb1.xbias.xr2.11                  4.61754e-112
xb1.xbias.xr2.21                  4.61757e-112
xb1.xbias.er                      4.61757e-112
xb1.xbias.pb                      -6.60239e-69
xb1.ibias                          1.20637e-19
xb1.xbias.nt                      -4.91726e-58
xb1.xbias.n1                       6.59343e-59
xb1.xbias.n2                       1.53594e-56
xb1.xbias.nz                       1.53595e-56
xb1.xbias.xrz.11                   1.53595e-56
xb1.xbias.xrz.21                   1.53594e-56
xb1.xbias.ks1                      2.01308e-46
xb1.xbias.ks2                     -2.50817e-45
xb1.xbias.ks3                      3.10485e-44
xb1.xbias.ks4                     -3.84345e-43
xb1.xbias.nkg                      4.75764e-42
xb1.xbias.nkm                      2.73085e-71
xb1.xbias.tok                      1.73609e-66
xb1.xbias.noko                    -1.14997e-67
xb1.xbias.nokl                    -5.58959e-65
xb1.xbias.nokx                     5.04185e-56
xb1.bias_ok                        3.41217e-42
xb1.xtemp.nbg                     -2.71316e-19
xb1.xtemp.enb                     -2.43895e-19
xb1.xtemp.pb                      -6.25318e-85
xb1.xtemp.pcas                    -4.96891e-79
xb1.xtemp.nt                      -5.95211e-20
xb1.xtemp.n1                      -2.82235e-19
xb1.xtemp.na                        9.2039e-39
xb1.xtemp.n2                      -1.44575e-20
xb1.xtemp.nb                       4.21645e-47
xb1.xtemp.pg                      -3.62316e-20
xb1.xtemp.nz                      -1.44575e-20
xb1.xtemp.xrz.11                  -1.44575e-20
xb1.xtemp.xrz.21                  -1.44575e-20
xb1.xtemp.m1d                     -1.73844e-38
xb1.xtemp.m2d                     -1.17119e-46
xb1.xtemp.m3d                      1.94588e-47
xb1.xtemp.nd                       2.21516e-27
xb1.xtemp.nr                      -6.06137e-44
xb1.xtemp.nc                       4.21645e-47
xb1.xtemp.xr1.11                   4.21645e-47
xb1.xtemp.xr1.21                   4.21645e-47
xb1.xtemp.xr2f.11                 -2.15038e-53
xb1.xtemp.xr2f.21                  -3.1373e-54
xb1.xtemp.t5                      -3.13612e-54
xb1.xtemp.xr2t5.11                -3.13494e-54
xb1.xtemp.xr2t5.21                 -1.5444e-54
xb1.xtemp.t4                      -1.54322e-54
xb1.xtemp.xr2t4.11                -1.54204e-54
xb1.xtemp.xr2t4.21                -7.47919e-55
xb1.xtemp.t3                      -7.46735e-55
xb1.xtemp.xr2t3.11                -7.45552e-55
xb1.xtemp.xr2t3.21                -3.49638e-55
xb1.xtemp.t2                      -3.48454e-55
xb1.xtemp.xr2t2.11                 -3.4727e-55
xb1.xtemp.xr2t2.21                -1.50491e-55
xb1.xtemp.t1                      -1.49307e-55
xb1.xtemp.xr2t1.11                -1.48123e-55
xb1.xtemp.xr2t1.21                -5.09801e-56
xb1.xtemp.t0                      -4.97964e-56
xb1.xtemp.xr2t0.11                -4.86127e-56
xb1.xtemp.xr2t0.21                -1.18369e-57
xb1.xtemp.xriso.11                  9.2039e-39
xb1.xtemp.xriso.21                  9.2039e-39
xb1.xcmp.bias_okb                            0
xb1.xcmp.nbg                      -1.82638e-19
xb1.xcmp.sns                                 0
xb1.xcmp.xrtop.11                            0
xb1.xcmp.xrtop.21                            0
xb1.xcmp.snsb                                0
xb1.xcmp.xrbot.11                            0
xb1.xcmp.xrbot.21                            0
xb1.xcmp.xrhys.11                            0
xb1.xcmp.xrhys.21                            0
xb1.xcmp.n1                       -1.77057e-69
xb1.xcmp.tn                        2.29808e-61
xb1.xcmp.na                       -1.47698e-61
xb1.xcmp.cmpo                     -1.42075e-61
xb1.xcmp.vdda                     -3.96922e-62
xb1.por_raw                         7.8984e-70
xb1.xpor.pdn                      -1.83423e-79
xb1.xpor.ndl                      -4.09465e-44
xb1.xpor.ndgp                      2.53411e-47
xb1.xpor.ndg                       2.13502e-46
xb1.xpor.ndgn                     -3.87757e-46
xb1.xpor.pgdg                      1.04746e-35
xb1.xpor.pgdgb                     6.65683e-48
xb1.xpor.nts                       3.48363e-40
xb1.xpor.tim                       1.63637e-38
xb1.xpor.nd1                        1.4509e-55
xb1.xpor.trip                     -4.25147e-33
xb1.xpor.rstb                      4.46015e-18
xb1.xpor.nnand                    -1.77044e-17
vddb3                                        0
ptatb3                            -9.48997e-83
ctatb3                            -3.05589e-48
resetnb3                           1.72415e-36
xb3.xbias.na                     -6.40062e-114
xb3.xbias.pg                       1.46346e-53
xb3.xbias.nbtop                   6.23557e-106
xb3.vref                          4.77659e-111
xb3.xbias.nbg                     -5.39022e-69
xb3.xbias.xrt.11                  6.23557e-106
xb3.xbias.xrt.21                  6.23557e-106
xb3.xbias.nb                      6.23557e-106
xb3.xbias.xr1.11                  6.23557e-106
xb3.xbias.xr1.21                  6.23558e-106
xb3.xbias.ec                      6.23558e-106
xb3.xbias.xr2.11                  4.77659e-111
xb3.xbias.xr2.21                  4.77663e-111
xb3.xbias.er                      4.77663e-111
xb3.xbias.pb                      -1.90784e-70
xb3.ibias                         -2.80746e-34
xb3.xbias.nt                      -5.35454e-58
xb3.xbias.n1                       7.18221e-59
xb3.xbias.n2                       1.67095e-56
xb3.xbias.nz                       1.67096e-56
xb3.xbias.xrz.11                   1.67096e-56
xb3.xbias.xrz.21                   1.67095e-56
xb3.xbias.ks1                     -1.39347e-45
xb3.xbias.ks2                      1.73617e-44
xb3.xbias.ks3                     -2.14919e-43
xb3.xbias.ks4                      2.66046e-42
xb3.xbias.nkg                     -3.29327e-41
xb3.xbias.nkm                        3.679e-71
xb3.xbias.tok                      1.77337e-66
xb3.xbias.noko                    -1.17468e-67
xb3.xbias.nokl                    -5.71094e-65
xb3.xbias.nokx                     4.80034e-56
xb3.bias_ok                        3.41217e-42
xb3.xtemp.nbg                       4.0352e-34
xb3.xtemp.enb                                0
xb3.xtemp.pb                       4.99036e-42
xb3.xtemp.pcas                    -3.76096e-42
xb3.xtemp.nt                       4.43706e-33
xb3.xtemp.n1                       1.87757e-32
xb3.xtemp.na                      -3.05589e-48
xb3.xtemp.n2                       2.31492e-33
xb3.xtemp.nb                      -1.25353e-58
xb3.xtemp.pg                       2.22528e-34
xb3.xtemp.nz                       2.31492e-33
xb3.xtemp.xrz.11                   2.31492e-33
xb3.xtemp.xrz.21                   2.31492e-33
xb3.xtemp.m1d                      1.40459e-48
xb3.xtemp.m2d                       3.4811e-58
xb3.xtemp.m3d                     -8.21102e-77
xb3.xtemp.nd                       6.10681e-39
xb3.xtemp.nr                      -3.32033e-42
xb3.xtemp.nc                      -1.25353e-58
xb3.xtemp.xr1.11                  -1.25353e-58
