
Note: Compatibility modes selected: hs a


Circuit: * por-brownout-spurious @ bjt_ss_27c_3.63v -- generated by sim/harness, do not edit

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
vddb1                                        0
ptatb1                             5.6965e-120
ctatb1                            -6.65851e-52
resetnb1                           2.28988e-37
xb1.xtemp__pg                      7.14961e-33
xb1.xtemp__nz                        7.157e-37
xb1.xbias__nbg                    -2.84854e-65
xb1.xbias__pb                      1.83476e-66
xb1.xbias__n1                      1.66618e-56
xb1.xbias__n2                      3.88675e-54
xb1.xbias__pg                      3.40633e-51
xb1.xbias__ks1                    -3.54483e-44
xb1.xbias__ks2                     4.41642e-43
xb1.xbias__ks3                    -5.46686e-42
xb1.xbias__ks4                     6.76687e-41
xb1.xbias__nkg                    -8.37602e-40
xb1.xbias__nkm                      7.2697e-68
xb1.xbias__nokl                   -2.56575e-62
xb1.xbias__noko                    -5.2842e-65
xb1.xbias__nokx                   -1.11714e-59
xb1.bias_ok                       -1.31154e-44
xb1.xcmp__na                      -3.55886e-49
xb1.xcmp__sns                                0
xb1.xcmp__tn                       5.71997e-49
xb1.xcmp__cmpo                    -3.67851e-49
xb1.vref                         -1.48318e-105
xb1.xcmp__nbg                     -2.01221e-29
xb1.ibias                          1.42245e-29
xb1.xcmp__bias_okb                           0
xb1.xcmp__snsb                               0
xb1.xcmp__n1                                 0
xb1.por_raw                       -2.00787e-85
xb1.xpor__pdn                      3.9898e-124
xb1.xpor__ndl                     -2.71116e-53
xb1.xpor__ndgn                    -4.90411e-55
xb1.xpor__ndg                      2.70169e-55
xb1.xpor__pgdg                     2.66338e-40
xb1.xpor__pgdgb                    4.44832e-52
xb1.xpor__tim                      3.67309e-46
xb1.xpor__nd1                      6.01438e-52
xb1.xpor__trip                     2.60552e-46
xb1.xpor__rstb                    -3.15865e-29
xb1.xpor__nnand                    1.16037e-28
xb1.xtemp__n1                      2.28504e-37
xb1.xtemp__n2                        7.157e-37
xb1.xtemp__nbg                    -2.06952e-29
xb1.xtemp__enb                     6.01748e-54
xb1.xtemp__pb                     -3.25256e-92
xb1.xtemp__pcas                  -6.88073e-174
xb1.xtemp__nd                     -1.29143e-36
xb1.xtemp__nr                     -1.78266e-53
xb1.xtemp__nt                      2.87702e-37
xb1.xtemp__t5                     8.31845e-121
xb1.xtemp__t4                     4.10612e-121
xb1.xtemp__t3                     1.99675e-121
xb1.xtemp__t2                     9.38839e-122
xb1.xtemp__t1                     4.06744e-122
xb1.xtemp__t0                     1.37737e-122
xb1.xbias__na                    -1.88977e-108
xb1.xbias__nbtop                  2.56414e-101
xb1.xbias__nt                     -1.24659e-55
xb1.xbias__nb                     2.56414e-101
xb1.xbias__tok                     7.97269e-64
xb1.xcmp__vdda                    -1.03987e-49
xb1.xpor__ndgp                     3.20415e-56
xb1.xpor__nts                      7.82251e-48
xb1.xtemp__na                     -6.65851e-52
xb1.xtemp__nb                      2.07702e-84
xb1.xtemp__m1d                      1.5935e-52
xb1.xtemp__m2d                    -2.75888e-84
xb1.xtemp__m3d                   -2.58208e-114
xb1.xbias__ec                     2.56414e-101
xb1.xbias__er                    -1.48319e-105
xb1.xtemp__nc                      2.07702e-84
xb1.xbias__nz                      3.88675e-54
xb1.x162.11                        2.07702e-84
xb1.x162.21                        2.07702e-84
xb1.xtemp__xr1__1                  2.07702e-84
xb1.x163.11                        2.07702e-84
xb1.x163.21                        2.07702e-84
xb1.x164.11                       -6.65851e-52
xb1.x164.21                       -6.65851e-52
xb1.xtemp__xriso__1               -6.65851e-52
xb1.x165.11                       -6.65851e-52
xb1.x165.21                       -6.65851e-52
xb1.x166.11                          7.157e-37
xb1.x166.21                          7.157e-37
xb1.xtemp__xrz__1                    7.157e-37
xb1.xtemp__xrz__2                    7.157e-37
xb1.x167.11                          7.157e-37
xb1.x167.21                          7.157e-37
xb1.x168.11                          7.157e-37
xb1.x168.21                          7.157e-37
xb1.xtemp__xrz__3                    7.157e-37
xb1.xtemp__xrz__4                    7.157e-37
xb1.x169.11                          7.157e-37
xb1.x169.21                          7.157e-37
xb1.x170.11                          7.157e-37
xb1.x170.21                          7.157e-37
xb1.xtemp__xrz__5                    7.157e-37
xb1.xtemp__xrz__6                    7.157e-37
xb1.x171.11                          7.157e-37
xb1.x171.21                          7.157e-37
xb1.x172.11                          7.157e-37
xb1.x172.21                          7.157e-37
xb1.xtemp__xrz__7                    7.157e-37
xb1.xtemp__xrz__8                    7.157e-37
xb1.x173.11                          7.157e-37
xb1.x173.21                          7.157e-37
xb1.x174.11                          7.157e-37
xb1.x174.21                          7.157e-37
xb1.xtemp__xrz__9                    7.157e-37
xb1.x175.11                          7.157e-37
xb1.x175.21                          7.157e-37
xb1.x176.11                       5.69619e-120
xb1.x176.21                       5.49412e-120
xb1.xtemp__xr2f__1                5.49381e-120
xb1.xtemp__xr2f__2                5.29111e-120
xb1.x177.11                       5.29143e-120
xb1.x177.21                        5.4935e-120
xb1.x178.11                        5.2908e-120
xb1.x178.21                       5.08873e-120
xb1.xtemp__xr2f__3                5.08842e-120
xb1.xtemp__xr2f__4                4.88573e-120
xb1.x179.11                       4.88604e-120
xb1.x179.21                       5.08811e-120
xb1.x180.11                       4.88541e-120
xb1.x180.21                       4.68335e-120
xb1.xtemp__xr2f__5                4.68303e-120
xb1.xtemp__xr2f__6                4.48034e-120
xb1.x181.11                       4.48065e-120
xb1.x181.21                       4.68272e-120
xb1.x182.11                       4.48003e-120
xb1.x182.21                       4.27796e-120
xb1.xtemp__xr2f__7                4.27764e-120
xb1.xtemp__xr2f__8                4.07495e-120
xb1.x183.11                       4.07526e-120
xb1.x183.21                       4.27733e-120
xb1.x184.11                       4.07464e-120
xb1.x184.21                       3.87257e-120
xb1.xtemp__xr2f__9                3.87226e-120
xb1.xtemp__xr2f__10               3.66956e-120
xb1.x185.11                       3.66987e-120
xb1.x185.21                       3.87194e-120
xb1.x186.11                       3.66925e-120
xb1.x186.21                       3.46718e-120
xb1.xtemp__xr2f__11               3.46687e-120
xb1.xtemp__xr2f__12               3.26417e-120
xb1.x187.11                       3.26449e-120
xb1.x187.21                       3.46656e-120
xb1.x188.11                       3.26386e-120
xb1.x188.21                       3.06179e-120
xb1.xtemp__xr2f__13               3.06148e-120
xb1.xtemp__xr2f__14               2.85879e-120
xb1.x189.11                        2.8591e-120
xb1.x189.21                       3.06117e-120
xb1.x190.11                       2.85847e-120
xb1.x190.21                        2.6564e-120
xb1.xtemp__xr2f__15               2.65609e-120
xb1.xtemp__xr2f__16                2.4534e-120
xb1.x191.11                       2.45371e-120
xb1.x191.21                       2.65578e-120
xb1.x192.11                       2.45309e-120
xb1.x192.21                       2.25102e-120
xb1.xtemp__xr2f__17                2.2507e-120
xb1.xtemp__xr2f__18               2.04801e-120
xb1.x193.11                       2.04832e-120
xb1.x193.21                       2.25039e-120
xb1.x194.11                        2.0477e-120
xb1.x194.21                       1.84563e-120
xb1.xtemp__xr2f__19               1.84532e-120
xb1.xtemp__xr2f__20               1.64262e-120
xb1.x195.11                       1.64293e-120
xb1.x195.21                         1.845e-120
xb1.x196.11                       1.64231e-120
xb1.x196.21                       1.44024e-120
xb1.xtemp__xr2f__21               1.43993e-120
xb1.xtemp__xr2f__22               1.23723e-120
