
Note: Compatibility modes selected: hs a


Circuit: * por-brownout @ ff_27c_3.30v -- generated by sim/harness, do not edit

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
vdd                                          0
ptat                               5.67463e-23
ctat                               -2.0657e-19
resetn                            -4.06097e-18
xdut.xbias.na                     -4.57432e-76
xdut.xbias.pg                      1.10841e-22
xdut.xbias.nbtop                  -1.12955e-87
xdut.vref                         -4.51867e-76
xdut.xbias.nbg                     7.40431e-67
xdut.xbias.xrt.11                 -1.12955e-87
xdut.xbias.xrt.21                 -1.12955e-87
xdut.xbias.nb                     -1.12955e-87
xdut.xbias.xr1.11                 -1.12955e-87
xdut.xbias.xr1.21                 -1.12955e-87
xdut.xbias.ec                     -1.12955e-87
xdut.xbias.xr2.11                 -4.51867e-76
xdut.xbias.xr2.21                  -4.5187e-76
xdut.xbias.er                      -4.5187e-76
xdut.xbias.pb                     -4.58271e-69
xdut.ibias                         1.29177e-19
xdut.xbias.nt                      1.58683e-25
xdut.xbias.n1                      1.74858e-23
xdut.xbias.n2                     -1.99536e-23
xdut.xbias.nz                     -1.99536e-23
xdut.xbias.xrz.11                 -1.99536e-23
xdut.xbias.xrz.21                 -1.99536e-23
xdut.xbias.ks1                    -5.29438e-26
xdut.xbias.ks2                     8.53632e-26
xdut.xbias.ks3                    -8.51918e-26
xdut.xbias.ks4                     5.31363e-26
xdut.xbias.nkg                    -1.52313e-27
xdut.xbias.nkm                     6.30038e-69
xdut.xbias.tok                    -5.50299e-31
xdut.xbias.noko                    4.16312e-30
xdut.xbias.nokl                    2.66163e-32
xdut.xbias.nokx                      2.189e-71
xdut.bias_ok                      -5.66611e-19
xdut.xtemp.nbg                     5.13724e-19
xdut.xtemp.enb                     5.17083e-18
xdut.xtemp.pb                     -1.41019e-31
xdut.xtemp.pcas                   -2.56709e-20
xdut.xtemp.nt                     -1.25584e-18
xdut.xtemp.n1                      1.37558e-18
xdut.xtemp.na                      -2.0657e-19
xdut.xtemp.n2                      1.81499e-18
xdut.xtemp.nb                      2.14851e-21
xdut.xtemp.pg                      5.80962e-19
xdut.xtemp.nz                      1.81499e-18
xdut.xtemp.xrz.11                  1.81499e-18
xdut.xtemp.xrz.21                  1.81499e-18
xdut.xtemp.m1d                     9.37037e-20
xdut.xtemp.m2d                    -1.22919e-20
xdut.xtemp.m3d                    -3.31974e-26
xdut.xtemp.nd                      4.82938e-19
xdut.xtemp.nr                       3.8646e-21
xdut.xtemp.nc                      2.14851e-21
xdut.xtemp.xr1.11                  2.14851e-21
xdut.xtemp.xr1.21                  2.14851e-21
xdut.xtemp.xr2f.11                 5.67463e-23
xdut.xtemp.xr2f.21                 5.67463e-23
xdut.xtemp.t5                      5.67463e-23
xdut.xtemp.xr2t5.11                5.67196e-23
xdut.xtemp.xr2t5.21                2.79725e-23
xdut.xtemp.t4                      2.79458e-23
xdut.xtemp.xr2t4.11                 2.7919e-23
xdut.xtemp.xr2t4.21                1.35661e-23
xdut.xtemp.t3                      1.35394e-23
xdut.xtemp.xr2t3.11                1.35126e-23
xdut.xtemp.xr2t3.21                6.35684e-24
xdut.xtemp.t2                       6.3301e-24
xdut.xtemp.xr2t2.11                6.30335e-24
xdut.xtemp.xr2t2.21                2.74673e-24
xdut.xtemp.t1                      2.71999e-24
xdut.xtemp.xr2t1.11                2.69325e-24
xdut.xtemp.xr2t1.21                9.37468e-25
xdut.xtemp.t0                      9.10725e-25
xdut.xtemp.xr2t0.11                8.83982e-25
xdut.xtemp.xr2t0.21                2.67428e-26
xdut.xtemp.xriso.11                -2.0657e-19
xdut.xtemp.xriso.21                -2.0657e-19
xdut.xcmp.bias_okb                -5.17083e-18
xdut.xcmp.nbg                     -7.11218e-19
xdut.xcmp.sns                                0
xdut.xcmp.xrtop.11                           0
xdut.xcmp.xrtop.21                           0
xdut.xcmp.snsb                               0
xdut.xcmp.xrbot.11                           0
xdut.xcmp.xrbot.21                           0
xdut.xcmp.xrhys.11                           0
xdut.xcmp.xrhys.21                           0
xdut.xcmp.n1                       6.74204e-19
xdut.xcmp.tn                       1.33795e-19
xdut.xcmp.na                      -1.61188e-19
xdut.xcmp.cmpo                    -1.14266e-19
xdut.xcmp.vdda                     6.59224e-21
xdut.por_raw                       6.74204e-19
xdut.xpor.pdn                       1.3881e-85
xdut.xpor.ndl                     -1.15831e-22
xdut.xpor.ndgp                    -2.99505e-20
xdut.xpor.ndg                      9.23728e-19
xdut.xpor.ndgn                      3.9273e-19
xdut.xpor.pgdg                      6.9847e-18
xdut.xpor.pgdgb                    1.12801e-25
xdut.xpor.nts                      3.49145e-23
xdut.xpor.tim                     -4.96086e-22
xdut.xpor.nd1                     -1.14381e-26
xdut.xpor.trip                     -2.2939e-20
xdut.xpor.rstb                    -4.39608e-18
xdut.xpor.nnand                    1.96681e-18
vsup#branch                       -1.49972e-29

 Reference value :  0.00000e+00
 Reference value :  2.39785e-04
 Reference value :  3.47170e-04
 Reference value :  3.67687e-04
 Reference value :  8.25904e-04
 Reference value :  8.41881e-04
 Reference value :  1.01277e-03
 Reference value :  4.68119e-03
 Reference value :  7.25128e-03
 Reference value :  7.25418e-03
 Reference value :  7.25546e-03
 Reference value :  7.26166e-03
 Reference value :  1.01852e-02
 Reference value :  1.39852e-02
 Reference value :  1.81452e-02
 Reference value :  2.00026e-02
 Reference value :  2.00203e-02
 Reference value :  2.00513e-02
 Reference value :  2.00520e-02
 Reference value :  2.00528e-02
 Reference value :  2.00588e-02
 Reference value :  2.01278e-02
 Reference value :  2.01773e-02
 Reference value :  2.01774e-02
 Reference value :  2.02130e-02
 Reference value :  2.02210e-02
 Reference value :  2.02227e-02
 Reference value :  2.18483e-02
 Reference value :  2.56083e-02
 Reference value :  2.66503e-02
 Reference value :  2.66515e-02
 Reference value :  2.66530e-02
 Reference value :  2.83923e-02
 Reference value :  3.23323e-02
 Reference value :  3.60123e-02
 Reference value :  3.97523e-02
 Reference value :  4.34323e-02
 Reference value :  4.72323e-02
 Reference value :  5.09723e-02
 Reference value :  5.47923e-02
No. of Data Rows : 4783
vrst_pre            =  3.30000e+00
vdd_dip             =  1.00000e+00
vrst_dip            =  9.99999e-01
treassert           =  2.00513e-02
trel2               =  2.66504e-02
trel2_last          =  2.66504e-02
vrst_final          =  3.30000e+00
m_resetn_pre_dip_v = 3.3000000000e+00
m_vdd_dip_v = 1.0000000000e+00
m_resetn_floor_in_dip_mv = 9.9999910000e+02
m_t_reassert_us = 5.1350000000e+01
m_t_pulse_regen_ms = 6.5990200000e+00
m_release_chatter_us = 0.0000000000e+00
m_resetn_final_v = 3.3000000000e+00
Note: Simulation executed from .control section 

Warning: m=xx on .subckt line will override multiplier m hierarchy!

