
Note: Compatibility modes selected: hs a


Circuit: * por-output-chain-ibias-sharing @ bjt_ss_-40c_3.30v -- generated by sim/harness, do not edit

Doing analysis at TEMP = -40.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
vdda                                         0
ena                                          0
nbcorea                           -2.23358e-22
sharea                            -2.23358e-22
nibtmpa                           -2.23358e-22
nibcmpa                           -2.23358e-22
nibpora                           -2.23358e-22
xbiasa.ks1                         2.00423e-83
xbiasa.ks2                        -2.07419e-83
xbiasa.ks3                        -5.41489e-64
xbiasa.ks4                         5.06987e-43
xbiasa.nkg                         1.58294e-21
xbiasa.pg                         -7.88145e-22
xbiasa.nbg                         3.40922e-22
xbiasa.pb                         -3.40922e-22
xbiasa.nkm                         3.40922e-22
xbiasa.nokl                        3.40922e-22
xbiasa.noko                       -2.27281e-22
xbiasa.nokx                                  0
xbiasa.n1                          6.00506e-63
xbiasa.n2                         -3.00067e-25
oka                               2.17872e-123
xbiasa.tok                         1.22945e-28
xbiasa.nt                          4.16383e-47
xbiasa.na                         -5.52406e-70
xbiasa.nbtop                       1.70233e-67
vrefa                             -3.17159e-64
xbiasa.nb                          1.70233e-67
xbiasa.ec                          1.70233e-67
xbiasa.er                         -3.17161e-64
xbiasa.nz                         -3.00068e-25
xbiasa.x47.11                     -3.17159e-64
xbiasa.x47.21                     -3.17159e-64
xbiasa.xr2__1                     -3.17159e-64
xbiasa.xr2__2                     -3.17159e-64
xbiasa.x48.11                     -3.17159e-64
xbiasa.x48.21                     -3.17159e-64
xbiasa.x49.11                     -3.17159e-64
xbiasa.x49.21                     -3.17159e-64
xbiasa.xr2__3                     -3.17159e-64
xbiasa.xr2__4                      -3.1716e-64
xbiasa.x50.11                      -3.1716e-64
xbiasa.x50.21                     -3.17159e-64
xbiasa.x51.11                      -3.1716e-64
xbiasa.x51.21                      -3.1716e-64
xbiasa.xr2__5                      -3.1716e-64
xbiasa.xr2__6                      -3.1716e-64
xbiasa.x52.11                      -3.1716e-64
xbiasa.x52.21                      -3.1716e-64
xbiasa.x53.11                      -3.1716e-64
xbiasa.x53.21                      -3.1716e-64
xbiasa.xr2__7                      -3.1716e-64
xbiasa.xr2__8                      -3.1716e-64
xbiasa.x54.11                      -3.1716e-64
xbiasa.x54.21                      -3.1716e-64
xbiasa.x55.11                      -3.1716e-64
xbiasa.x55.21                      -3.1716e-64
xbiasa.xr2__9                      -3.1716e-64
xbiasa.xr2__10                     -3.1716e-64
xbiasa.x56.11                      -3.1716e-64
xbiasa.x56.21                      -3.1716e-64
xbiasa.x57.11                      -3.1716e-64
xbiasa.x57.21                     -3.17161e-64
xbiasa.xr2__11                    -3.17161e-64
xbiasa.xr2__12                    -3.17161e-64
xbiasa.x58.11                     -3.17161e-64
xbiasa.x58.21                     -3.17161e-64
xbiasa.x59.11                     -3.17161e-64
xbiasa.x59.21                     -3.17161e-64
xbiasa.xr2__13                    -3.17161e-64
xbiasa.xr2__14                    -3.17161e-64
xbiasa.x60.11                     -3.17161e-64
xbiasa.x60.21                     -3.17161e-64
xbiasa.x61.11                     -3.17161e-64
xbiasa.x61.21                     -3.17161e-64
xbiasa.xr2__15                    -3.17161e-64
xbiasa.x62.11                     -3.17161e-64
xbiasa.x62.21                     -3.17161e-64
xbiasa.x63.11                     -3.00068e-25
xbiasa.x63.21                     -3.00068e-25
xbiasa.xrz__1                     -3.00068e-25
xbiasa.xrz__2                     -3.00067e-25
xbiasa.x64.11                     -3.00067e-25
xbiasa.x64.21                     -3.00068e-25
xbiasa.x65.11                     -3.00067e-25
xbiasa.x65.21                     -3.00067e-25
xbiasa.xrz__3                     -3.00067e-25
xbiasa.x66.11                     -3.00067e-25
xbiasa.x66.21                     -3.00067e-25
xbiasa.x67.11                      1.70233e-67
xbiasa.x67.21                      1.70233e-67
xbiasa.xr1__1                      1.70233e-67
xbiasa.x68.11                      1.70233e-67
xbiasa.x68.21                      1.70233e-67
xbiasa.x69.11                      1.70233e-67
xbiasa.x69.21                      1.70233e-67
xbiasa.xrt__1                      1.70233e-67
xbiasa.x70.11                      1.70233e-67
xbiasa.x70.21                      1.70233e-67
xbiasa.n1__par                     6.00506e-63
xbiasa.n2__par                    -3.00067e-25
xbiasa.nkm__par                    3.40922e-22
xbiasa.tok__par                    1.22945e-28
xbiasa.noko__par                  -2.27281e-22
xbiasa.nokl__par                   3.40922e-22
xbiasa.nokx__par                             0
xbiasa.ks1__par                    2.00423e-83
xbiasa.ks2__par                   -2.07419e-83
xbiasa.ks3__par                   -5.41489e-64
xbiasa.ks4__par                    5.06987e-43
xbiasa.nkg__par                    1.58294e-21
xbiasa.nb__par                     1.70233e-67
xbiasa.ec__par                     1.70233e-67
xbiasa.nz__par                    -3.00068e-25
xbiasa.xrz__2__par                -3.00067e-25
xbiasa.xr2__14__par               -3.17161e-64
xbiasa.xr2__12__par               -3.17161e-64
xbiasa.pg__par                    -7.88145e-22
xbiasa.xr2__10__par                -3.1716e-64
xbiasa.xr2__8__par                 -3.1716e-64
xbiasa.xr2__6__par                 -3.1716e-64
xbiasa.xr2__4__par                 -3.1716e-64
xbiasa.xr2__2__par                -3.17159e-64
xbiasa.na__par                    -5.52406e-70
xbiasa.er__par                    -3.17161e-64
xbiasa.xrt__1__par                 1.70233e-67
xbiasa.nbtop__par                  1.70233e-67
xbiasa.xr1__1__par                 1.70233e-67
xbiasa.xrz__3__par                -3.00067e-25
xbiasa.xrz__1__par                -3.00068e-25
xbiasa.xr2__13__par               -3.17161e-64
xbiasa.xr2__11__par               -3.17161e-64
xbiasa.xr2__1__par                -3.17159e-64
xbiasa.xr2__3__par                -3.17159e-64
xbiasa.xr2__5__par                 -3.1716e-64
xbiasa.xr2__7__par                 -3.1716e-64
xbiasa.xr2__9__par                 -3.1716e-64
