
Note: Compatibility modes selected: hs a


Circuit: * temp-por-top-release @ bjt_ss_-40c_2.97v -- generated by sim/harness, do not edit

Doing analysis at TEMP = -40.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
vdd                                          0
ptat                              -1.62411e-29
ctat                               7.00515e-24
resetn                            -2.70296e-44
xdut.xbias.na                     4.92251e-118
xdut.xbias.pg                      -7.8831e-22
xdut.xbias.nbtop                  4.75976e-113
xdut.vref                        -8.75889e-112
xdut.xbias.nbg                     3.40905e-22
xdut.xbias.xrt.11                 4.75976e-113
xdut.xbias.xrt.21                 4.75976e-113
xdut.xbias.nb                     4.75976e-113
xdut.xbias.xr1.11                 4.75976e-113
xdut.xbias.xr1.21                 4.75976e-113
xdut.xbias.ec                     4.75976e-113
xdut.xbias.xr2.11                -8.75889e-112
xdut.xbias.xr2.21                -8.75895e-112
xdut.xbias.er                    -8.75895e-112
xdut.xbias.pb                     -3.40905e-22
xdut.ibias                        -2.23611e-22
xdut.xbias.nt                     -4.69382e-47
xdut.xbias.n1                      2.05715e-68
xdut.xbias.n2                     -3.00197e-25
xdut.xbias.nz                     -3.00198e-25
xdut.xbias.xrz.11                 -3.00198e-25
xdut.xbias.xrz.21                 -3.00197e-25
xdut.xbias.ks1                     7.63434e-88
xdut.xbias.ks2                     2.16582e-67
xdut.xbias.ks3                    -2.37906e-62
xdut.xbias.ks4                    -6.63101e-42
xdut.xbias.nkg                    -1.58249e-21
xdut.xbias.nkm                     3.40914e-22
xdut.xbias.tok                     1.22961e-28
xdut.xbias.noko                   -2.27294e-22
xdut.xbias.nokl                    3.40936e-22
xdut.xbias.nokx                              0
xdut.bias_ok                      5.86518e-113
xdut.xtemp.nbg                     1.17169e-42
xdut.xtemp.enb                               0
xdut.xtemp.pb                      5.86682e-85
xdut.xtemp.pcas                    2.32359e-98
xdut.xtemp.nt                      5.42851e-22
xdut.xtemp.n1                      1.30118e-21
xdut.xtemp.na                      7.00515e-24
xdut.xtemp.n2                      8.67048e-22
xdut.xtemp.nb                      3.20705e-24
xdut.xtemp.pg                      5.14378e-22
xdut.xtemp.nz                      8.67048e-22
xdut.xtemp.xrz.11                  8.67048e-22
xdut.xtemp.xrz.21                  8.67048e-22
xdut.xtemp.m1d                    -1.56078e-23
xdut.xtemp.m2d                    -1.44325e-23
xdut.xtemp.m3d                     1.44325e-23
xdut.xtemp.nd                      4.88138e-57
xdut.xtemp.nr                     -5.26598e-94
xdut.xtemp.nc                      3.20705e-24
xdut.xtemp.xr1.11                  3.20705e-24
xdut.xtemp.xr1.21                  3.20705e-24
xdut.xtemp.xr2f.11                -1.62401e-29
xdut.xtemp.xr2f.21                -2.37025e-30
xdut.xtemp.t5                     -2.36927e-30
xdut.xtemp.xr2t5.11                -2.3683e-30
xdut.xtemp.xr2t5.21               -1.16719e-30
xdut.xtemp.t4                     -1.16622e-30
xdut.xtemp.xr2t4.11               -1.16524e-30
xdut.xtemp.xr2t4.21               -5.65549e-31
xdut.xtemp.t3                     -5.64573e-31
xdut.xtemp.xr2t3.11               -5.63596e-31
xdut.xtemp.xr2t3.21               -2.64614e-31
xdut.xtemp.t2                     -2.63638e-31
xdut.xtemp.xr2t2.11               -2.62661e-31
xdut.xtemp.xr2t2.21               -1.14059e-31
xdut.xtemp.t1                     -1.13083e-31
xdut.xtemp.xr2t1.11               -1.12106e-31
xdut.xtemp.xr2t1.21               -3.87465e-32
xdut.xtemp.t0                       -3.777e-32
xdut.xtemp.xr2t0.11               -3.67935e-32
xdut.xtemp.xr2t0.21               -9.76516e-34
xdut.xtemp.xriso.11                7.00515e-24
xdut.xtemp.xriso.21                7.00515e-24
xdut.xcmp.bias_okb               -1.65824e-119
xdut.xcmp.nbg                      2.30802e-42
xdut.xcmp.sns                                0
xdut.xcmp.xrtop.11                           0
xdut.xcmp.xrtop.21                           0
xdut.xcmp.snsb                               0
xdut.xcmp.xrbot.11                           0
xdut.xcmp.xrbot.21                           0
xdut.xcmp.xrhys.11                           0
xdut.xcmp.xrhys.21                           0
xdut.xcmp.n1                       1.82841e-95
xdut.xcmp.tn                        1.6293e-79
xdut.xcmp.na                      -1.84008e-79
xdut.xcmp.cmpo                    -1.35322e-79
xdut.xcmp.vdda                     3.64389e-81
xdut.por_raw                        1.0716e-90
xdut.xpor.pdn                     -3.95982e-89
xdut.xpor.ndl                     -1.90359e-22
xdut.xpor.ndgp                     5.39611e-36
xdut.xpor.ndg                     -4.19382e-36
xdut.xpor.ndgn                    -1.05016e-34
xdut.xpor.pgdg                    -1.81395e-39
xdut.xpor.pgdgb                              0
xdut.xpor.nts                     -6.54319e-96
xdut.xpor.tim                        3.712e-97
xdut.xpor.nd1                     -1.11873e-62
xdut.xpor.trip                               0
xdut.xpor.rstb                    -1.16567e-49
xdut.xpor.nnand                    2.98073e-49
vsup#branch                        8.54059e-34

 Reference value :  0.00000e+00
 Reference value :  2.27095e-04
 Reference value :  4.57801e-04
 Reference value :  5.07975e-04
 Reference value :  5.30881e-04
 Reference value :  5.61804e-04
 Reference value :  5.81361e-04
 Reference value :  9.51316e-04
 Reference value :  9.52705e-04
 Reference value :  9.68114e-04
 Reference value :  1.19547e-03
 Reference value :  3.19547e-03
 Reference value :  5.16547e-03
 Reference value :  7.10547e-03
 Reference value :  9.04547e-03
 Reference value :  1.07252e-02
 Reference value :  1.07394e-02
 Reference value :  1.07417e-02
 Reference value :  1.07434e-02
 Reference value :  1.07452e-02
 Reference value :  1.07469e-02
 Reference value :  1.07593e-02
 Reference value :  1.26476e-02
 Reference value :  1.45476e-02
 Reference value :  1.65076e-02
 Reference value :  1.84376e-02
 Reference value :  2.05076e-02
 Reference value :  2.25876e-02
 Reference value :  2.45276e-02
 Reference value :  2.66676e-02
 Reference value :  2.86676e-02
No. of Data Rows : 4398
iq_pre              =  -8.26049e-07 from=  1.50000e-03 to=  1.90547e-03
vrst_pre            =  5.67674e-10
vib_pre             =  7.19611e-01
vref_pre            =  1.20434e+00
vptat_pre           =  9.71925e-09
trel                =  1.07394e-02
vrst_post           =  2.97000e+00
vib_post            =  6.91502e-01
vptat_post          =  1.00404e+00
vctat_post          =  7.82332e-01
m_vibias_asserted_v = 7.1961100000e-01
m_vibias_released_v = 6.9150220000e-01
m_vref_asserted_v = 1.2043430000e+00
m_resetn_asserted_mv = 5.6767440000e-07
m_resetn_released_v = 2.9700000000e+00
m_t_release_ms = 1.0739370000e+01
m_vptat_asserted_mv = 9.7192500000e-06
m_vptat_released_v = 1.0040440000e+00
m_vctat_released_v = 7.8233170000e-01
m_iq_por_ua = 8.2604940000e-01
Note: Simulation executed from .control section 

Warning: m=xx on .subckt line will override multiplier m hierarchy!

