
Note: No compatibility mode selected!


Circuit: * temp-por-top-release @ res_ss_125c_3.30v -- generated by sim/harness, do not edit

Doing analysis at TEMP = 125.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
----                                   -------
vdd                                          0
ptat                               1.58865e-23
ctat                              -4.36129e-19
resetn                             1.16146e-18
xdut.xbias__nbg                   -1.29348e-20
xdut.xbias__pb                    -3.75574e-20
xdut.xbias__n1                    -6.33307e-20
xdut.xbias__n2                    -6.32886e-20
xdut.xbias__pg                     4.53367e-19
xdut.xbias__ks1                   -2.96069e-19
xdut.xbias__ks2                    2.97926e-19
xdut.xbias__ks3                   -7.75669e-20
xdut.xbias__ks4                   -1.14873e-19
xdut.xbias__nkg                    3.67097e-19
xdut.xbias__nkm                     -5.433e-19
xdut.xbias__nokl                   2.25493e-19
xdut.xbias__noko                    7.9283e-19
xdut.xbias__nokx                  -3.51483e-20
xdut.bias_ok                      -1.37805e-18
xdut.xcmp__na                     -2.50477e-19
xdut.xcmp__sns                    4.07435e-297
xdut.xcmp__tn                      2.58714e-19
xdut.xcmp__cmpo                   -1.77829e-19
xdut.vref                          5.41394e-19
xdut.xcmp__nbg                    -7.32268e-20
xdut.ibias                        -4.37798e-19
xdut.xcmp__bias_okb                6.30559e-19
xdut.xcmp__snsb                   3.44596e-297
xdut.xcmp__n1                       1.7732e-18
xdut.por_raw                       1.71821e-18
xdut.xpor__pdn                     6.87851e-21
xdut.xpor__ndl                    -1.19023e-29
xdut.xpor__ndgn                     1.6298e-18
xdut.xpor__ndg                    -2.17933e-19
xdut.xpor__pgdg                    1.73257e-18
xdut.xpor__pgdgb                   6.75491e-19
xdut.xpor__tim                    -1.04296e-19
xdut.xpor__nd1                     5.32164e-19
xdut.xpor__trip                              0
xdut.xpor__rstb                    9.20512e-19
xdut.xpor__nnand                  -1.64636e-18
xdut.xtemp__n1                    -1.10106e-18
xdut.xtemp__n2                     3.68174e-19
xdut.xtemp__pg                     1.15399e-18
xdut.xtemp__nbg                   -1.06441e-19
xdut.xtemp__enb                    6.23319e-19
xdut.xtemp__pb                    -1.60502e-18
xdut.xtemp__pcas                   1.65292e-18
xdut.xtemp__nd                    -1.59462e-18
xdut.xtemp__nr                     7.54189e-19
xdut.xtemp__nt                     4.93398e-20
xdut.xtemp__t5                     2.30832e-24
xdut.xtemp__t4                     1.14035e-24
xdut.xtemp__t3                     5.53411e-25
xdut.xtemp__t2                     2.59173e-25
xdut.xtemp__t1                     1.11612e-25
xdut.xtemp__t0                     3.74823e-26
xdut.xbias__na                    -2.46902e-19
xdut.xbias__nbtop                  1.75237e-18
xdut.xbias__nt                    -5.91564e-20
xdut.xbias__nb                     1.75237e-18
xdut.xbias__tok                    1.56103e-19
xdut.xcmp__vdda                   -2.12379e-19
xdut.xpor__ndgp                    2.14891e-18
xdut.xpor__nts                     -8.0371e-19
xdut.xtemp__na                    -4.36128e-19
xdut.xtemp__nb                     3.82376e-19
xdut.xtemp__m1d                    2.56766e-19
xdut.xtemp__m2d                   -4.32044e-19
xdut.xtemp__m3d                    3.28531e-19
xdut.xbias__ec                     1.75237e-18
xdut.xbias__er                     5.41396e-19
xdut.xtemp__nc                     3.82377e-19
xdut.xbias__nz                    -6.32886e-20
xdut.xtemp__nz                     3.68174e-19
xdut.x163.11                       3.82376e-19
xdut.x163.21                       3.82376e-19
xdut.xtemp__xr1__1                 3.82376e-19
xdut.x164.11                       3.82377e-19
xdut.x164.21                       3.82376e-19
xdut.x165.11                      -4.36128e-19
xdut.x165.21                      -4.36128e-19
xdut.xtemp__xriso__1              -4.36128e-19
xdut.x166.11                      -4.36129e-19
xdut.x166.21                      -4.36128e-19
xdut.x167.11                       3.68174e-19
xdut.x167.21                       3.68174e-19
xdut.xtemp__xrz__1                 3.68174e-19
xdut.xtemp__xrz__2                 3.68174e-19
xdut.x168.11                       3.68174e-19
xdut.x168.21                       3.68174e-19
xdut.x169.11                       3.68174e-19
xdut.x169.21                       3.68174e-19
xdut.xtemp__xrz__3                 3.68174e-19
xdut.xtemp__xrz__4                 3.68174e-19
xdut.x170.11                       3.68174e-19
xdut.x170.21                       3.68174e-19
xdut.x171.11                       3.68174e-19
xdut.x171.21                       3.68174e-19
xdut.xtemp__xrz__5                 3.68174e-19
xdut.xtemp__xrz__6                 3.68174e-19
xdut.x172.11                       3.68174e-19
xdut.x172.21                       3.68174e-19
xdut.x173.11                       3.68174e-19
xdut.x173.21                       3.68174e-19
xdut.xtemp__xrz__7                 3.68174e-19
xdut.xtemp__xrz__8                 3.68174e-19
xdut.x174.11                       3.68174e-19
xdut.x174.21                       3.68174e-19
xdut.x175.11                       3.68174e-19
xdut.x175.21                       3.68174e-19
xdut.xtemp__xrz__9                 3.68174e-19
xdut.x176.11                       3.68174e-19
xdut.x176.21                       3.68174e-19
xdut.x177.11                       1.58859e-23
xdut.x177.21                       1.53214e-23
xdut.xtemp__xr2f__1                1.53208e-23
xdut.xtemp__xr2f__2                 1.4755e-23
xdut.x178.11                       1.47556e-23
xdut.x178.21                       1.53201e-23
xdut.x179.11                       1.47544e-23
xdut.x179.21                       1.41899e-23
xdut.xtemp__xr2f__3                1.41892e-23
xdut.xtemp__xr2f__4                1.36235e-23
xdut.x180.11                       1.36241e-23
xdut.x180.21                       1.41886e-23
xdut.x181.11                       1.36229e-23
xdut.x181.21                       1.30584e-23
xdut.xtemp__xr2f__5                1.30577e-23
xdut.xtemp__xr2f__6                 1.2492e-23
xdut.x182.11                       1.24926e-23
xdut.x182.21                       1.30571e-23
xdut.x183.11                       1.24913e-23
xdut.x183.21                       1.19268e-23
xdut.xtemp__xr2f__7                1.19262e-23
xdut.xtemp__xr2f__8                1.13605e-23
xdut.x184.11                       1.13611e-23
xdut.x184.21                       1.19256e-23
xdut.x185.11                       1.13598e-23
xdut.x185.21                       1.07953e-23
xdut.xtemp__xr2f__9                1.07947e-23
xdut.xtemp__xr2f__10               1.02289e-23
xdut.x186.11                       1.02296e-23
xdut.x186.21                       1.07941e-23
xdut.x187.11                       1.02283e-23
xdut.x187.21                       9.66381e-24
xdut.xtemp__xr2f__11               9.66318e-24
xdut.xtemp__xr2f__12               9.09742e-24
xdut.x188.11                       9.09805e-24
xdut.x188.21                       9.66255e-24
xdut.x189.11                       9.09679e-24
xdut.x189.21                       8.53229e-24
xdut.xtemp__xr2f__13               8.53166e-24
xdut.xtemp__xr2f__14                7.9659e-24
xdut.x190.11                       7.96653e-24
xdut.x190.21                       8.53103e-24
xdut.x191.11                       7.96527e-24
xdut.x191.21                       7.40077e-24
xdut.xtemp__xr2f__15               7.40014e-24
xdut.xtemp__xr2f__16               6.83439e-24
xdut.x192.11                       6.83502e-24
xdut.x192.21                       7.39951e-24
xdut.x193.11                       6.83376e-24
xdut.x193.21                       6.26926e-24
xdut.xtemp__xr2f__17               6.26863e-24
xdut.xtemp__xr2f__18               5.70287e-24
xdut.x194.11                        5.7035e-24
xdut.x194.21                         6.268e-24
xdut.x195.11                       5.70224e-24
xdut.x195.21                       5.13774e-24
xdut.xtemp__xr2f__19               5.13711e-24
xdut.xtemp__xr2f__20               4.57135e-24
xdut.x196.11                       4.57198e-24
xdut.x196.21                       5.13648e-24
xdut.x197.11                       4.57072e-24
xdut.x197.21                       4.00623e-24
xdut.xtemp__xr2f__21                4.0056e-24
xdut.xtemp__xr2f__22               3.43984e-24
xdut.x198.11                       3.44047e-24
xdut.x198.21                       4.00497e-24
xdut.x199.11                       3.43921e-24
xdut.x199.21                       2.87471e-24
xdut.xtemp__xr2f__23               2.87408e-24
xdut.x200.11                       2.30895e-24
xdut.x200.21                       2.87345e-24
xdut.x201.11                        2.3077e-24
xdut.x201.21                       1.72496e-24
xdut.xtemp__xr2t5__1               1.72434e-24
xdut.x202.11                       1.14098e-24
xdut.x202.21                       1.72371e-24
xdut.x203.11                       1.13973e-24
xdut.x203.21                       8.47511e-25
xdut.xtemp__xr2t4__1               8.46883e-25
xdut.x204.11                        5.5404e-25
xdut.x204.21                       8.46255e-25
xdut.x205.11                       5.52782e-25
xdut.x205.21                       4.06921e-25
xdut.xtemp__xr2t3__1               4.06292e-25
xdut.x206.11                       2.59802e-25
xdut.x206.21                       4.05663e-25
xdut.x207.11                       2.58544e-25
xdut.x207.21                       1.86022e-25
xdut.xtemp__xr2t2__1               1.85392e-25
xdut.x208.11                       1.12241e-25
xdut.x208.21                       1.84763e-25
xdut.x209.11                       1.10982e-25
xdut.x209.21                       7.51762e-26
xdut.xtemp__xr2t1__1               7.45469e-26
xdut.x210.11                       3.81116e-26
xdut.x210.21                       7.39177e-26
xdut.x211.11                       3.68531e-26
xdut.x211.21                       1.93704e-26
xdut.xtemp__xr2t0__1               1.87412e-26
xdut.x212.11                       6.29256e-28
xdut.x212.21                       1.81119e-26
xdut.x213.11                      4.07435e-297
xdut.x213.21                      -6.8065e-304
xdut.x214.11                      3.44596e-297
xdut.x214.21                      4.07435e-297
xdut.x215.11                      6.36132e-304
xdut.x215.21                      3.44596e-297
xdut.x216.11                       5.41394e-19
xdut.x216.21                       5.41394e-19
xdut.xbias__xr2__1                 5.41394e-19
xdut.xbias__xr2__2                 5.41394e-19
